student,doc_quant,doc_qual,test_math,test_sci,test_fusion,activity
289980,9.43,34.7,24,45,61,-8
688833,10.93,33.2,29,55,78,8
997524,11.83,32.1,30,43,39,-2
383604,10.7,33.2,31,50,66,-2
861847,12,31.9,30,46,60,20
840225,11.83,32,30,44,70,28
451361,11.3,32.5,20,41,38,
438701,11.67,32.1,18,50,37,
445514,8,35.7,32,49,64,38
303856,9.67,34,33,50,66,20
481054,8.73,34.9,32,54,59,24
484642,11.5,32.1,19,29,30,
139600,10.87,32.7,15,45.5,26,
707675,11.8,31.7,14,34.5,31,
968093,9.8,33.7,20,40,47,
888760,11.77,31.7,27,48.5,64,18
771024,9.97,33.4,28,45,65,16
143705,6.07,37.3,22,49,61,18
467305,9.8,33.5,10,33,21,
750160,10.27,33,16,27,26,
945546,9.73,33.5,25,37.5,56,24
671764,11,32.2,28,48.5,54,18
192077,10.77,32.4,36,44,67,32
439200,8.43,34.7,27,48,51,14
605109,9.73,33.4,25,47.5,49,18
819688,8.33,34.8,29,36,59,-34
761634,9.83,33.2,34,41,48,24
570051,10.6,32.4,19,42,42,
544832,11.9,31.1,19,41,36,
683908,10.97,32,17,26.5,23,
804474,10.57,32.3,20,48,57,-6
252362,7.5,35.3,32,53,65,32
475033,9.5,33.2,30,51,68,22
934681,9.53,33.1,19,36,24,
338247,7.9,34.5,28,47,57,24
697019,11.97,30.4,27,48,59,2
320700,8.87,33.4,31,37.5,69,14
478848,11.33,30.9,20,41.5,20,
236951,6.8,35.4,26,53,60,-4
468573,7.73,34.4,16,33,15,
934154,8.57,33.5,27,44,53,8
293336,11.43,30.6,9,39,36,
5163,9.6,32.4,23,49,71,28
871237,8.67,33.3,8,32,18,
3820,9.67,32.3,30,53,73,24
226250,8.27,33.6,22,47.5,57,32
136445,10.53,31.3,16,47,27,
453272,11.8,30,10,28,16,
817089,11,30.8,21,54,52,30
477360,9.17,32.6,23,46.5,53,8
744766,10.7,31,24,47,55,-18
292877,7.97,33.7,13,34,8,
602312,9.33,32.3,29,52,57,28
170530,10.37,31,9,14,7,
635730,10.63,30.7,24,48,62,20
184282,7.6,33.7,32,41,47,6
165530,7.8,33.5,17,41,30,
224172,9.1,32.2,29,50.5,56,20
95363,9.93,31.1,35,54.5,95,24
419163,7.7,33.3,25,52,79,16
267841,9.9,31,15,47,37,
743230,4.67,36.2,22,56,49,26
569449,11.53,29.3,25,46.5,75,20
300140,10.83,30,16,39,28,
507318,9.9,30.8,25,44,56,12
624370,8.97,31.7,15,48,26,
418290,8.47,32.2,29,49.5,51,18
702229,10.63,29.9,24,43.5,42,
146461,8.33,32.1,15,19,19,
413497,9.3,31,33,42,71,22
143405,9.23,31,11,34,27,
833516,10.33,29.9,24,44,31,
658912,8,32.2,12,29,25,
26773,10.3,29.9,30,37,56,22
405678,10.17,30,23,50,51,0
594549,10.53,29.6,20,48.5,48,22
616773,7.57,32.5,12,32,16,
931427,7.87,32.1,15,28,56,
920254,8.93,31,18,37,47,
545418,10.03,29.9,14,40,18,
222796,8.6,31.3,15,27,19,
445879,9.67,30.2,16,35,39,
972596,8.5,31.3,23,47,70,32
409988,7.27,32.4,23,50,49,-10
152657,8.2,31.2,17,47,62,18
867552,11.47,27.9,27,36,50,22
456186,9.6,29.7,20,47,43,
386777,11,28.2,31,44.5,83,26
676520,7.93,31.2,30,57,63,32
559490,11.37,27.7,30,49,43,32
530813,10.57,28.5,32,50,62,28
377560,8,30.8,19,43,36,
243438,11.6,27.2,25,37,60,-16
208903,11.43,27.3,26,42,45,26
949569,7,31.7,9,29,17,
334712,9,29.6,32,46,71,30
79660,8.5,30.1,24,46,49,18
814700,11.3,27.3,24,48,60,4
780404,10.97,27.5,26,51,47,26
404083,8.67,29.6,19,33,21,
661376,9,29.2,21,41,62,34
989370,8.3,29.9,16,40,43,
181911,8.9,29.3,36,48,70,30
742786,9.67,28.5,25,41,33,
540955,9.9,28.2,31,49,60,16
792607,9.77,28.3,24,44.5,42,
75790,8,30,25,45.5,60,14
532923,7.97,30,27,44,43,6
895858,8,29.8,22,40,40,
541857,10.63,27.1,24,44,55,28
741892,7.93,29.8,26,43,64,12
318293,7.97,29.7,10,28.5,22,
807771,8.37,29.3,26,36.5,34,
498391,10.33,27.3,25,56.5,64,0
354995,8.2,29.4,25,38,39,
607940,11.7,25.9,27,52,76,26
240322,8,29.5,21,36,36,
436271,11.6,25.9,23,38,36,
278287,7.87,29.6,27,40,47,-4
146118,8.93,28.5,32,41,56,16
593487,7.5,29.9,13,17,13,
898473,11.6,25.7,19,30,20,
900490,9.57,27.6,30,51,66,12
681112,9.57,27.5,15,33.5,29,
888610,9.93,27.1,30,45,68,2
364520,10,27,9,31,15,
208129,9.73,27.2,8,15.5,8,
176508,9.2,27.7,26,41,26,
735565,7.47,29.4,24,39,44,
693673,10.53,26.3,21,38,35,
666390,7.07,29.7,23,51,47,22
250939,8,28.6,10,23,18,
767020,11,25.6,21,50,66,38
646055,9.1,27.4,29,34,39,
397473,8,28.4,15,32,36,
302295,8.7,27.7,9,51,15,
467819,9.5,26.8,6,27,22,
226810,7.5,28.6,12,22,15,
501714,7.17,28.9,23,34.5,29,
643973,8.17,27.9,32,40,69,20
711180,10.97,25,30,43,32,
832590,7.63,28.2,17,34,26,
925813,8.13,27.7,20,51,47,16
182973,10.5,25.3,19,54,42,20
967844,8.3,27.4,33,40,65,-14
969573,8.7,27,19,48,36,
882562,5.33,30.3,21,55,50,18
820240,6,29.6,18,36,41,
615696,8.67,26.9,21,51.5,53,14
166785,8.23,27.2,9,45.5,27,
280138,8,27.4,26,24,27,
459210,10.7,24.6,17,42,21,
819650,9.6,25.7,22,36,42,
770032,10.67,24.6,21,33.5,37,
795198,5.63,29.6,1,21,24,
427311,8.07,27.1,12,26,37,
465097,10.17,25,28,49,43,14
977304,9.97,25.1,16,48.5,48,22
925630,7.93,27.1,17,42,51,
178916,8.9,25.9,9,29,20,
642312,8.4,26.3,21,43.5,42,
472715,9.9,24.8,17,47,49,6
816365,8.57,26,31,47,58,22
6966,8.07,26.5,18,37,41,
266257,9.23,25.3,10,46,43,
176569,5.9,28.6,14,37,23,
881010,8.83,25.6,35,43.5,38,26
776081,4.42,30,29,51,44,34
795657,7.83,26.5,26,47,34,
694313,6.9,27.4,20,51,59,0
964716,9.57,24.6,21,50.5,67,32
802708,8.63,25.5,22,48.5,58,10
482558,8.63,25.5,21,45,42,
826393,9.03,25.1,30,42,42,0
743518,9,25.1,17,29,34,
505877,7.77,26.3,22,26,29,
559893,5.03,29,24,47,40,
608941,6,28,26,31.5,45,
224117,7.93,25.9,19,23,17,
574584,7.93,25.9,11,23,29,
814813,8.9,24.9,35,48,65,28
563341,7.93,25.8,16,47,29,
940942,8.37,25.3,26,43,72,22
261421,8.4,25.2,32,49.5,73,30
926959,10.87,22.7,24,33,33,
698620,6.1,27.4,19,36.5,39,
674306,7.47,25.9,21,32,22,
253943,8,25.1,18,47,34,
561502,10.27,22.7,27,47,60,8
298449,7.33,25.6,17,32,27,
815650,7.9,25,29,36,54,-2
163907,6.43,26.4,19,49.5,55,-36
711408,8.07,24.7,26,40,70,20
665869,10.23,22.4,12,27,38,
584358,9,23.6,24,44,54,0
413675,7.73,24.7,17,42,43,
857342,7.9,24.5,19,29,15,
663348,10.4,21.9,11,21,16,
82074,7.93,24.3,11,31,22,
212207,6.23,26,4,29,16,
981741,7.9,24.2,32,50,71,18
154919,9.17,22.9,32,41.5,72,26
242251,7.53,24.5,12,36.5,27,
106553,7.93,24,33,49,78,14
346882,7.83,24.1,30,53,78,20
619004,9,22.9,19,29,35,
241223,7.3,24.6,11,30,22,
666442,8.6,23.3,14,21,11,
925750,9.5,22.4,28,31,34,
89950,7.93,23.9,27,43.5,52,-22
353076,7.53,24.1,15,29,40,
456568,8.47,23.1,13,44,13,
229758,6.57,25,17,36.5,44,
762480,7.97,23.5,13,33.5,53,
100494,7.7,23.7,11,15,15,
159397,7.73,23.6,23,30,40,
203665,6.67,24.6,10,23.5,16,
840748,9.17,22.1,13,39,19,
473149,7.5,23.7,17,26,39,
499940,9.4,21.7,20,37,17,
890516,6.83,24.2,29,47,74,18
215691,8.03,23,25,42,42,
9354,9.97,21,28,33.5,10,
454576,6.97,24,15,42,13,
420405,7.53,23.4,5,24.5,30,
819241,7.6,23.3,24,38.5,66,10
405588,9,21.8,27,32.5,69,-12
160727,7.4,23.4,23,38,33,
368122,7.73,22.9,17,39,31,
862791,5.33,25.3,15,36,58,
462097,4.8,25.8,25,40.5,62,12
55822,5.83,24.7,21,27,31,
956325,7.53,23,27,23,34,
564644,8.1,22.4,16,42,50,
268614,5.67,24.8,18,38.5,24,
9628,9.23,21.2,11,32,56,
952750,6.23,24.2,21,26,26,
347847,7.7,22.7,20,8.5,23,
4029,7.6,22.8,16,27,25,
144183,5.73,24.6,22,28,24,
358768,7.97,22.3,18,44.5,36,
156810,7.67,22.6,20,37,62,12
759585,8.57,21.7,25,46,68,-18
970943,3.4,26.8,16,42,23,
5173,7.3,22.8,28,41.5,55,24
616902,7.67,22.4,27,34,56,18
65948,8.63,21.2,13,30,32,
247489,7.87,21.9,17,38,32,
107913,4.77,24.9,16,36,39,
339574,4.93,24.7,7,16,10,
153376,7.5,22.1,6,28,12,
18890,7.57,21.9,15,17,20,
647792,8.23,21.2,27,52.5,45,22
441737,7.77,21.6,13,42,34,
395734,5.63,23.7,6,25,20,
104022,8,21.3,15,25.5,43,
22551,4.9,24.4,20,31.5,24,
738320,8.83,20.4,22,46,38,
240369,8.7,20.4,7,39,34,
78709,6.77,22.3,27,35,46,
951008,6.17,22.8,8,29,32,
228038,5.93,23,10,24,13,
768415,7.5,21.4,22,36,24,
382892,6.8,22.1,13,26,23,
504663,7.73,21.1,21,36,36,
583843,4.43,24.4,2,28,14,
264327,7.47,21.2,11,14,8,
436648,7.9,20.7,21,27,19,
347914,5.97,22.6,17,25,16,
736997,7.87,20.7,22,36.5,53,4
630290,8.67,19.8,12,29.5,32,
426427,7.87,20.6,29,47,54,30
243004,6,22.4,24,41,76,32
544722,7.7,20.6,31,29,49,
47371,7.7,20.6,14,24,17,
762500,7.93,20.3,18,34,31,
821352,7.63,20.6,8,29.5,28,
960503,7.23,21,33,46.5,63,26
948375,8,20.2,14,33,17,
396523,6.47,21.7,31,46,47,18
167966,7.5,20.6,26,39,46,20
205565,7.77,20.2,22,37.5,39,
401037,4.43,23.5,15,43,47,
351840,7.97,19.9,19,24,17,
869770,7.43,20.4,25,37,45,
352464,8.13,19.7,16,42.5,40,
102268,7,20.8,25,38,33,
416752,6.67,21.1,25,45.5,37,
706014,7.67,20,24,24.5,45,
724674,8.33,19.2,20,46,55,22
415651,7.47,20,16,33,34,
753498,6.97,20.5,9,20,12,
649408,7.67,19.8,4,23,11,
508411,7.77,19.6,25,33,58,26
949764,7.83,19.5,22,37,43,
201254,4.7,22.6,11,28,19,
500256,8.07,19.2,,,,
426474,5.8,21.4,,,,
528594,7.33,19.8,,,,
777446,6.13,20.9,,,,
554406,8,19,,,,
707653,6,21,,,,
439762,8,19,,,,
247915,9,18,,,,
338198,5.57,21.4,,,,
318174,5.5,21.4,,,,
925931,7.97,18.9,,,,
479127,7.13,19.7,,,,
815638,6.17,20.6,,,,
203341,7.5,19.2,,,,
728306,7.53,19.1,,,,
592819,7.47,19.1,,,,
829576,7.83,18.7,,,,
500734,5.87,20.6,,,,
502181,1.73,24.7,,,,
41540,7.53,18.9,,,,
170393,4.03,22.4,,,,
479679,6,20.4,,,,
125408,6.3,20.1,,,,
276995,7.97,18.3,,,,
768978,6.57,19.7,,,,
227270,7.5,18.7,,,,
432455,8,17.9,,,,
35588,7.7,18.2,,,,
10244,7.4,18.5,,,,
122521,7.43,18.4,,,,
239009,3.3,22.5,,,,
757483,8.73,17,,,,
154511,7.83,17.9,,,,
960572,8,17.7,,,,
48492,2.7,23,,,,
991983,6.8,18.9,,,,
921775,4.97,20.7,,,,
615868,7.43,18.1,,,,
844678,5.23,20.3,,,,
840009,3.87,21.6,,,,
512853,7.17,18.3,,,,
4683,7.73,17.7,,,,
489960,4.73,20.7,,,,
956273,7.47,17.9,,,,
166461,6.67,18.7,,,,
343882,6.37,19,,,,
417278,7.47,17.8,,,,
98606,7.4,17.8,,,,
663699,3.73,21.4,,,,
530381,6.3,18.8,,,,
606572,7.97,17.1,,,,
196264,8.3,16.7,,,,
460111,4.3,20.7,,,,
976822,7.93,17,,,,
416480,6.5,18.4,,,,
30794,5.67,19.2,,,,
153531,7.97,16.9,,,,
339507,7.7,17.1,,,,
49878,7.77,16.9,,,,
301879,7.63,17,,,,
345086,7.7,16.9,,,,
419827,7.8,16.8,,,,
672731,7.8,16.7,,,,
432332,7.5,17,,,,
496732,7.93,16.5,,,,
853650,8.67,15.7,,,,
774615,6.87,17.5,,,,
710923,5,19.3,,,,
889062,3.1,21.2,,,,
486898,7.5,16.7,,,,
373665,3.47,20.7,,,,
948920,8.57,15.5,,,,
825228,7.5,16.5,,,,
633967,8.13,15.8,,,,
695606,5.93,18,,,,
249937,4.73,19.2,,,,
273138,8.33,15.6,,,,
349633,4.73,19.2,,,,
876955,7.27,16.6,,,,
21579,7.93,15.9,,,,
49743,9.13,14.7,,,,
406263,7,16.8,,,,
886754,7.1,16.7,,,,
361773,6.87,16.9,,,,
43522,7.9,15.8,,,,
343168,6.93,16.7,,,,
710544,7.93,15.7,,,,
561836,4.53,19.1,,,,
215811,7.8,15.8,,,,
146209,7,16.5,,,,
537449,7.97,15.5,,,,
485197,7.57,15.8,,,,
66029,8.4,14.9,,,,
424752,7.3,15.9,,,,
292404,4.8,18.4,,,,
437588,7.6,15.5,,,,
74927,7.4,15.7,,,,
341165,7.57,15.5,,,,
597603,5.2,17.8,,,,
408170,7.27,15.7,,,,
643548,7.27,15.7,,,,
972526,7.2,15.7,,,,
226265,7.2,15.7,,,,
471677,7.33,15.5,,,,
493474,7.23,15.5,,,,
12840,6.97,15.7,,,,
957811,7.9,14.7,,,,
135971,7.43,15.1,,,,
937629,7.03,15.5,,,,
167964,7.73,14.8,,,,
81635,7.93,14.5,,,,
435268,3.17,19.2,,,,
373859,7.77,14.5,,,,
367806,5.87,16.4,,,,
447023,3.97,18.3,,,,
792590,7.4,14.8,,,,
42610,3.8,18.4,,,,
524475,7.7,14.5,,,,
193289,7.57,14.5,,,,
969847,6.3,15.7,,,,
52638,7.5,14.5,,,,
984915,6.4,15.5,,,,
645355,7.4,14.5,,,,
503706,7.4,14.5,,,,
277684,5.93,15.9,,,,
106500,7.2,14.6,,,,
476064,7.27,14.5,,,,
503327,5.17,16.5,,,,
774492,4.43,17.2,,,,
177408,7,14.5,,,,
381753,7.17,14.3,,,,
289990,3.67,17.8,,,,
243600,4.93,16.5,,,,
849884,5.77,15.6,,,,
447920,5.63,15.7,,,,
735328,8,13.3,,,,
924434,6.6,14.7,,,,
394029,6.73,14.5,,,,
910939,3.7,17.5,,,,
736294,5.5,15.7,,,,
910323,5.7,15.5,,,,
762236,6.67,14.5,,,,
651015,-0.23,21.3,,,,
355655,6.53,14.5,,,,
927524,5.43,15.5,,,,
607256,8.2,12.7,,,,
380542,7.27,13.5,,,,
339398,6.2,14.5,,,,
651190,3.97,16.7,,,,
348013,4.93,15.7,,,,
856920,8.03,12.5,,,,
532716,5.5,15,,,,
845337,5.33,15,,,,
826678,4.8,15.5,,,,
26354,4.57,15.7,,,,
688837,5.77,14.5,,,,
344974,3,17.2,,,,
949302,6.67,13.5,,,,
230934,5.67,14.5,,,,
838442,5.57,14.5,,,,
297057,5.4,14.5,,,,
371158,5.57,14.3,,,,
70664,5.13,14.7,,,,
288540,5.27,14.5,,,,
932630,5,14.7,,,,
478114,5.37,14.3,,,,
693804,5.1,14.5,,,,
871814,7.1,12.5,,,,
531098,7.1,12.5,,,,
263871,5.1,14.5,,,,
323167,7.1,12.5,,,,
822765,7.13,12.3,,,,
222569,5.9,13.5,,,,
477117,5.9,13.5,,,,
262569,6.53,12.7,,,,
889909,3.7,15.5,,,,
754385,6.7,12.5,,,,
519278,1.6,17.6,,,,
752613,5.83,13.3,,,,
634575,5.4,13.7,,,,
868289,7.57,11.5,,,,
332473,6.67,12.3,,,,
670728,4.6,14.3,,,,
671211,3.8,15,,,,
464782,7.47,11.3,,,,
453060,6.23,12.5,,,,
772756,5.2,13.5,,,,
745739,3.9,14.7,,,,
721746,6.3,12.3,,,,
191560,4.27,14.3,,,,
905106,4,14.5,,,,
410207,6.17,12.3,,,,
465751,4.9,13.3,,,,
602735,6.67,11.5,,,,
361657,7.73,10.3,,,,
868772,3.3,14.5,,,,
594749,3.03,14.7,,,,
909646,2.1,15.5,,,,
525234,2.93,14.5,,,,
473692,4.83,12.3,,,,
168624,3.77,13.3,,,,
579147,5.4,11.3,,,,
414587,4.8,11.5,,,,
389737,4.57,11.5,,,,
307135,2.43,13.3,,,,
594254,0.63,14.6,,,,
324648,2.43,12.7,,,,
577868,-2.2,17.3,,,,
89088,2.53,12.5,,,,
155593,4.47,10.5,,,,
821543,1.43,13.5,,,,
856458,-2.9,16.9,,,,
657420,1.47,12.5,,,,
792836,3.47,10.5,,,,
759333,2.43,11.5,,,,
239881,0.97,12.5,,,,
740046,-2.6,15.6,,,,
483824,2.6,10.3,,,,
514062,0.4,12.3,,,,
147879,0.03,12.5,,,,
65820,-2.13,13.8,,,,
18846,-4.27,15.7,,,,
205606,2,9.3,,,,
229839,0.93,10.3,,,,
146962,0.47,10.3,,,,
105584,-1.23,10.5,,,,
359990,-2.43,11.3,,,,
262723,-0.47,9.3,,,,
427961,-3.63,11.6,,,,
369265,-3.17,10.5,,,,
38869,11.37,35.6,21,44.5,69,14
741532,10,35.8,24,52,70,16
451821,9.97,34.8,23,41,63,24
272276,10.97,33.6,22,40,49,22
460015,11.7,29.9,13,42,26,
314388,11.23,30.1,20,45,31,30
620888,7.47,32.8,12,26,13,
229374,9.93,28.8,14,27,19,
740194,11.67,25.1,30,49,63,20
553248,8,28.7,11,30.5,14,
957897,8.33,28.1,15,26,13,
335282,7.5,27.8,18,22,16,
142051,5.8,27.6,3,17.5,10,
457986,7.9,25.1,7,30,28,
222859,7.63,23.8,12,22,19,
983769,5.53,23.8,12,36,27,
320651,6.87,22.4,21,29,32,
499294,5.87,23.1,1,23.5,12,
691083,5.57,23,11,28.5,12,
55950,3.1,25.4,18,41,41,-8
404488,6.3,21.4,13,25.5,30,
621203,7.33,20,18,24,20,
641503,6,21,,,,
134927,3.7,22.6,,,,
134313,6.03,20.2,,,,
22724,5.83,16.4,,,,
624909,0.13,17.9,,,,
250392,1.63,11.3,,,,
475473,,,21,37.5,,18
690438,,,30,49,,30
507158,,,15,35,,-8
64376,,,20,22,,
987873,,,18,51,,14
74107,,,16,27,,-2
408654,,,17,21,,
832098,,,6,26,,
911003,,,7,35,,
768330,,,9,35.5,,10
191339,,,6,33,,-18
847261,,,19,35,,30
916221,,,19,48,,
839493,,,8,35,,
498591,,,13,27,,
223062,,,14,38,,-14
426186,,,8,27,,
477101,,,20,36,,
811336,,,3,27.5,,
936650,,,23,46,,32
625915,,,14,35,,32
88691,,,24,40,,
313161,,,21,38,,22
586643,,,15,31,,6
238100,,,11,24.5,,
950431,,,20,40.5,,
192743,,,9,32,,
317222,,,15,35,,6
467385,,,19,46,,26
484465,,,,,,
491923,,,,,,
505490,,,,,,
544412,,,,,,
75855,,,,,,
351039,,,,,,
783503,,,,,,
449728,,,,,,
178985,,,,,,
221830,,,,,,
723430,,,,,,
617319,,,,,,
820625,,,,,,
230777,,,,,,
891323,,,,,,
704450,,,,,,
617610,,,,,,
930664,,,,,,
193074,,,,,,
838654,,,,,,
